City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,clinton,42.587,-82.9199,53.89,81,100,9.22,US,1698497917
83,bubaque,11.2833,-15.8333,81.9,77,69,7.27,GW,1698497918
84,pisco,-13.7,-76.2167,68.05,83,100,3.44,PE,1698497919
85,san patricio,28.017,-97.5169,79.84,88,3,7.67,US,1698497920
86,utrik,11.2278,169.8474,82.92,77,47,16.31,MH,1698497921
87,labrador city,52.9463,-66.9114,37.31,100,75,14.97,CA,1698497732
88,hawaiian paradise park,19.5933,-154.9731,70.03,91,14,3.11,US,1698497923
89,eforie sud,44.0229,28.6494,76.01,37,22,12.53,RO,1698497924
90,goulburn,-34.75,149.7167,42.33,68,96,4.29,AU,1698497925
91,yuzhno-kurilsk,44.0306,145.8556,52.38,87,100,1.61,RU,1698497926
92,ocean shores,46.9737,-124.1563,38.01,85,0,1.01,US,1698497927
93,bredasdorp,-34.5322,20.0403,60.31,57,94,16.11,ZA,1698497928
94,adamstown,-25.066,-130.1015,72.54,79,99,7.52,PN,1698497812
95,portland,45.5234,-122.6762,39.47,77,0,8.01,US,1698497929
96,behbahan,30.5959,50.2417,86.18,23,80,12.8,IR,1698497930
97,wotho,10.1657,166.0102,83.19,76,12,12.19,MH,1698497931
98,rurrenabaque,-14.4413,-67.5278,87.96,54,100,6.17,BO,1698497932
99,andergrove,-21.0833,149.1833,67.64,68,7,14.76,AU,1698497932
100,sayalkudi,9.1833,78.45,83.21,70,93,10.49,IN,1698497933
101,uturoa,-16.7333,-151.4333,77.88,81,100,4.83,PF,1698497934
102,avarua,-21.2078,-159.775,71.65,64,100,8.05,CK,1698497935
103,chibougamau,49.9168,-74.3659,31.62,93,100,12.66,CA,1698497935
104,tual,-5.6667,132.75,81.75,79,67,10.07,ID,1698497937
105,calvi,42.5,8.8333,68.63,35,0,18.41,FR,1698497938
106,bac lieu,9.285,105.7244,81.19,81,93,6.8,VN,1698497939
107,san juan del cesar,10.7711,-73.0031,74.35,94,99,1.41,CO,1698497940
108,richards bay,-28.783,32.0377,68.27,86,100,10.38,ZA,1698497735
109,linxi,39.7,118.4333,55.26,69,0,5.79,CN,1698497943
110,kiffa,16.6166,-11.4045,100.62,8,1,3.36,MR,1698497944
111,kupjansk,49.7209,37.5998,57.51,60,36,28.7,UA,1698497945
112,dapa,9.7594,126.0531,81.72,78,1,3.69,PH,1698497945
113,codrington,-38.2667,141.9667,45.43,82,100,4.36,AU,1698497946
114,east london,-33.0153,27.9116,63.54,77,75,14.97,ZA,1698497716
115,sangueya,10.7,-14.3667,86.41,69,100,4.52,GN,1698497950
116,hithadhoo,-0.6,73.0833,80.76,83,22,16.02,MV,1698497951
117,hadibu,12.65,54.0333,81.9,68,87,10.89,YE,1698497953
118,bar-sur-aube,48.25,4.5833,56.71,81,100,16.6,FR,1698497953
119,puerto ayora,-0.7393,-90.3518,74.55,91,100,8.99,EC,1698497954
120,kodiak,57.79,-152.4072,45.91,93,100,16.11,US,1698497955
121,san isidro de curuguaty,-24.5167,-55.7,85.69,60,22,8.28,PY,1698497956
122,beau vallon,-20.4189,57.6953,79.03,78,40,3.44,MU,1698497956
123,zaozersk,69.4005,32.4476,24.03,94,100,3.02,RU,1698497957
124,qaqortoq,60.7167,-46.0333,32.65,73,28,1.81,GL,1698497958
125,port elizabeth,-33.918,25.5701,63.1,82,75,14.97,ZA,1698497959
126,malax,62.9423,21.5731,30.15,59,0,3.44,FI,1698497960
127,hola,51.5377,23.1902,46.58,83,100,6.15,PL,1698497960
128,hami,42.8,93.45,56.52,30,100,3.11,CN,1698497961
129,daru,-9.0763,143.2092,77.68,90,97,15.5,PG,1698497962
130,rio grande,-32.035,-52.0986,73.51,83,52,7.23,BR,1698497966
131,port alfred,-33.5906,26.891,63.18,81,32,10.0,ZA,1698497966
132,guelendeng,10.9176,15.5501,99.63,19,10,7.74,TD,1698497969
133,tazovsky,67.4667,78.7,8.76,90,99,13.0,RU,1698497970
134,masterton,-40.9597,175.6575,36.16,86,11,1.19,NZ,1698497971
135,stanley,54.868,-1.6985,50.72,91,75,5.75,GB,1698497972
136,morondava,-20.2833,44.2833,83.07,62,0,17.45,MG,1698497973
137,kuta,-8.7233,115.1723,82.35,83,20,2.3,ID,1698497974
138,st. john's,47.5649,-52.7093,49.68,97,100,19.57,CA,1698497690
139,dudhi,24.2167,83.25,73.38,45,69,2.24,IN,1698497976
140,selebi-phikwe,-21.979,27.8498,99.09,10,30,5.44,BW,1698497978
141,benguela,-12.5763,13.4055,79.59,74,55,8.16,AO,1698497870
142,albany,42.6001,-73.9662,66.24,88,13,1.01,US,1698497980
143,uusikaupunki,60.8004,21.4084,33.76,69,78,8.21,FI,1698497980
144,suntar,62.1444,117.6319,22.86,90,100,3.89,RU,1698497981
145,saint-jean-de-monts,46.7833,-2.0667,61.27,87,100,40.47,FR,1698497982
146,ivatsevichy,52.709,25.3401,42.64,86,100,9.55,BY,1698497983
147,george town,5.4112,100.3354,80.53,94,40,5.01,MY,1698497726
148,kabalo,-6.05,26.9167,85.95,53,99,3.6,CD,1698497984
149,lagos,6.5833,3.75,88.12,60,13,7.34,NG,1698497985
